LONG,LAT,IGNORE4,NAME,PHONE,AVAILABILITY,NOTES,STATE,REGION,AREA
-146.343,61.086,ALLI,Allison Point,907.835.2282,mid may-mid sep,,AK,S,Valdez
-151.865,59.768,ANCH,Anchor River State Rec Area,907.262.5581,,,AK,SW,Anchor Point
-150.81,66.566,ARCT,Arctic Circle - Dalton Hwy,,,,AK,,
-134.737,58.381,AUKV,Auk Village,907.586.8800/907.225.3101,,,AK,NW,Juneau
-149.256,60.751,BERT,Bertha Creek,907.783.3242/907.743.9500,,,AK,SE,Hope
-149.849,61.543,BIGL,Big Lake North State Rec Area,907.745.3975,,,AK,W,Wasilla
-150.702,60.516,BING,Bings Landing State Rec Area,907.262.5581,,,AK,SE,Sterling
-146.641,64.319,BIRC,Birch Lake State Rec Area,,,,AK,SE,Salcha
-149.464,60.973,BIRD,Bird Creek - Chugach State Park,907.345.5014,,,AK,SE,Anchorage
-148.909,60.794,BLAC,Black Bear,907.783.3242/907.743.9500,,,AK,SE,Girdwood
-132.823,56.615,BLIN,Blind Slough,,,take ferry,AK,S,Petersburg
-145.686,61.121,BLUE,Blueberry Lake State Rec Area,,,,AK,E,Valdez
-148.055,63.294,BRUS,Brushkana Creek,,,,AK,E,Cantwell
-152.478,57.763,BUSK,Buskin River State Rec Area,907.486.6339,,take ferry,AK,SW,Kodiak
-150.115,62.747,BYER,Byers Lake - Denali State Park,907.745.3975,,,AK,N,Trapper Creek
-149.733,61.227,CENT,Centennial Camper Park,907.343.6986,,,AK,E,Anchorage
-146.373,64.903,CHEN,Chena River State Rec Area,907.451.2695,,3 campgrounds along same road,AK,E,Fairbanks
-147.81,64.84,CHER,Chena River State Rec Site,907.451.2695,,in town Fairbanks,AK,W,Fairbanks
-144.763,60.661,CHID,Childs Glacier Recreation Area,907.424.7661,early jun-late sep,,AK,,
-135.363,59.148,CHIK,Chilkat State Park,907.766.2292,,,AK,SE,Haines
-135.559,59.334,CHIL,Chilkoot Lake State Rec Area,907.465.4563,,,AK,NW,Haines
-151.387,60.233,CLAM,Clam Gulch State Rec Area,907.262.5581,,,AK,NE,Clam Gulch
-145.442,64.055,CLEA,Clearwater State Rec Area,,,,AK,E,Delta Junction
-149.533,60.85,COEU,Coeur Dalene,907.224.3374/907.743.9500,,,AK,SE,Hope
-149.888,60.484,COOP,Cooper Creek Trailhead,907.224.3374/907.743.9500,early jun-late aug,,AK,W,Cooper Landing
-149.688,60.499,CRES,Crescent Creek,907.224.3374/907.743.9500,,,AK,E,Cooper Landing
-146.694,65.274,CRIP,Cripple Creek - Steese Hwy,,,,AK,NE,Fairbanks
-151.688,60.027,DEEP,Deep Creek State Rec Area,907.262.5581,,,AK,S,Ninilchik
-145.733,64.06,DELT,Delta State Rec Area,907.451.2695,,,AK,N,Delta Junction
-150.17,62.737,DENA,Denali Viewpoint - Denali State Park,907.745.3975,,,AK,N,Talkeetna
-151.016,60.804,DISC,Discovery State Rec Area,907.262.5581,,,AK,NE,Kenai
-150.799,60.702,DOLL,Dolly Varden Lake,,,,AK,NE,Kenai
-145.883,63.677,DONN,Donnelly Creek State Rec Area,,,,AK,S,Delta Junction
-145.478,62.146,DRYC,Dry Creek State Rec Area,907.745.3975,,,AK,NE,Glennallen
-135.359,59.483,DYEA,Dyea - Klondike National Historical Park,907.983.9224,,,AK,NW,Skagway
-141.238,64.774,EAGL,Eagle - Taylor Hwy,907.883.5121,,,AK,SW,Eagle
-149.57,61.307,EAGR,Eagle River - Chugach State Park,907.345.5014,,,AK,S,Eagle River
-143.195,63.165,EAGT,Eagle Trail State Rec Area,907.451.2695,,,AK,SW,Tok
-132.852,55.707,EAGN,Eagles Nest,907.826.3271/907.225.3101,mid may-mid sep,take ferry,AK,,
-149.148,61.409,EKLU,Eklunta - Chugach State Park,907.345.5014,,,AK,E,Chugiak
-149.274,61.61,FING,Finger Lake State Rec Area,907.745.3975,,,AK,E,Wasilla
-149.816,65.918,FIVE,Five Mile - Dalton Hwy,,,,AK,,
-152.36,57.831,FORT,Fort Abercrombie State Park,907.486.6339,,take ferry,AK,NE,Kodiak
-149.46,68.5,GALB,Galbraith Lake - Dalton Hwy,,,,AK,,
-149.292,60.725,GRAN,Granite Creek,907.783.3242/907.743.9500,early jun-late aug,,AK,N,Moose Pass
-146.882,64.438,HARD,Harding Lake State Rec Area,907.451.2695,,,AK,SE,Salcha
-132.862,55.467,HARR,Harris River,907.826.3271/907.225.3101,mid may-mid sep,take ferry,AK,SE,Klawock
-150.204,60.466,HIDD,Hidden Lake  - Kenai Wildlife Refuge,907.262.7021,,,AK,W,Cooper Landing
-150.755,60.536,IZAA,Izaak Walton State Rec Area,907.262.5581,,,AK,E,Sterling
-151.269,60.293,JOHN,Johnson Lake State Rec Area,907.262.5581,,,AK,S,Kasilof
-148.495,61.776,KING,King Mountain State Rec Area,907.745.3975,,,AK,SW,Chickaloon
-146.551,62.28,LAKE,Lake Louise State Rec Area,907.745.3975,,for res call 907-441-7575,AK,W,Glennallen
-131.684,55.445,LAST,Last Chance,907.225.2148/907.225.3101,mid may-late aug,,AK,N,Ketchikan
-146.951,61.987,LITT,Little Nelchina State Rec Area,,,,AK,W,Glennallen
-150.322,60.462,LOWO,Lower Ohmer Lake,,,,AK,W,Cooper Landing
-150.461,60.473,LOWS,Lower Skilak Lake,,,,AK,W,Cooper Landing
-150.163,67.318,MARI,Marion Creek - Dalton Hwy,,,,AK,,
-147.795,61.798,MATA,Matanuska Glacier State Rec Area,,,tents only,AK,E,Sutton
